11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	12 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	
0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	6 	0 	0 	11 	11 	11 	11 	0 	6 	0 	0 	0 	0 	12 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	12 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	
0 	7 	0 	0 	0 	0 	6 	0 	0 	0 	7 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	5 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	7 	0 	0 	13 	0 	
0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	
11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	0 	0 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	0 	0 	0 	0 	11 	11 	11 	11 	11 	11 	11 	11 	12 	0 	0 	0 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	
0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	13 	0 	0 	0 	7 	0 	0 	0 	0 	13 	0 	0 	5 	0 	0 	13 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	7 	0 	0 	13 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	6 	0 	0 	0 	7 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	8 	
0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	11 	11 	0 	0 	0 	0 	0 	0 	0 	11 	7 	11 	11 	11 	11 	11 	11 	7 	11 	11 	
7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	0 	0 	11 	11 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	11 	11 	11 	11 	11 	11 	11 	0 	0 	0 	11 	11 	11 	11 	7 	11 	11 	11 	11 	0 	5 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	12 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	7 	0 	0 	
7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	12 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	7 	0 	0 	
7 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	5 	7 	0 	0 	0 	0 	13 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	13 	0 	0 	5 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	11 	11 	11 	7 	11 	11 	11 	11 	11 	11 	0 	13 	0 	0 	0 	7 	0 	0 	
7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	5 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	7 	0 	0 	0 	0 	0 	13 	0 	0 	11 	11 	11 	0 	0 	0 	13 	0 	0 	5 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	7 	0 	0 	
11 	0 	0 	0 	0 	0 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	12 	0 	0 	6 	0 	5 	7 	0 	11 	11 	11 	11 	11 	11 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	7 	0 	0 	
5 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	7 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	7 	0 	0 	
5 	5 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	7 	0 	0 	0 	0 	0 	0 	0 	5 	11 	11 	11 	11 	11 	11 	0 	0 	11 	11 	11 	11 	0 	0 	11 	11 	12 	11 	11 	11 	11 	11 	11 	7 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	11 	0 	0 	11 	7 	11 	11 	11 	11 	
5 	5 	5 	11 	0 	0 	0 	0 	11 	11 	11 	11 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	5 	7 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	13 	0 	0 	0 	7 	0 	0 	13 	0 	5 	0 	0 	0 	0 	7 	0 	0 	0 	0 	
5 	12 	5 	5 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	11 	11 	11 	11 	11 	11 	11 	5 	11 	11 	11 	11 	11 	7 	11 	11 	12 	0 	0 	0 	0 	6 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	5 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	5 	0 	0 	6 	0 	7 	0 	0 	6 	0 	
5 	0 	12 	5 	5 	11 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	11 	11 	11 	11 	11 	11 	11 	11 	11 	0 	0 	0 	11 	11 	5 	0 	0 	0 	0 	11 	11 	11 	0 	0 	11 	5 	0 	0 	0 	0 	7 	0 	0 	0 	0 	
5 	0 	0 	12 	5 	5 	11 	0 	0 	0 	0 	0 	0 	0 	11 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	11 	5 	5 	0 	0 	0 	0 	7 	0 	0 	0 	0 	
5 	0 	0 	0 	12 	12 	12 	11 	11 	0 	0 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	0 	0 	11 	11 	11 	12 	11 	11 	11 	11 	11 	0 	0 	11 	11 	11 	11 	11 	11 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	11 	5 	5 	5 	11 	11 	0 	0 	11 	11 	11 	11 	11 	
5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	12 	11 	11 	11 	0 	0 	11 	11 	12 	12 	12 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
5 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	
5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
5 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	
12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	
